Rank,PLAYER,TEAM,AVG,H,HR,RBI,P/PA,TB,IBB,Adjusted TB
1,Jose Altuve,HOU,0.346,204,24,81,3.49,323,3,227
2,Charlie Blackmon,COL,0.331,213,37,104,3.98,387,9,239
3,Avisail Garcia,CHW,0.33,171,18,80,3.56,262,5,190
4,Daniel Murphy,WSH,0.322,172,23,93,3.67,290,14,198
5,Justin Turner,LAD,0.322,147,21,71,3.74,242,5,158
6,Joey Votto,CIN,0.32,179,36,100,3.87,323,20,179
7,Buster Posey,SF,0.32,158,12,67,3.65,228,13,180
8,Eric Hosmer,KC,0.318,192,25,94,3.83,300,3,200
9,Jose Ramirez,CLE,0.318,186,29,83,3.99,341,5,225
10,Josh Reddick,HOU,0.314,150,13,82,3.77,231,1,179
11,Marcell Ozuna,MIA,0.312,191,37,124,3.77,336,4,188
12,DJ LeMahieu,COL,0.31,189,8,64,3.92,249,1,217
13,Nolan Arenado,COL,0.309,187,37,130,3.86,355,9,207
14,Dee Gordon,MIA,0.308,201,2,33,3.45,245,0,237
15,Freddie Freeman,ATL,0.307,135,28,71,3.75,258,14,146
16,Tommy Pham,STL,0.306,136,23,73,4,231,0,139
17,Mike Trout,LAA,0.306,123,33,72,4.2,253,15,121
18,Joe Mauer,MIN,0.305,160,7,71,4.36,219,3,191
19,Jose Abreu,CHW,0.304,189,33,102,3.79,343,6,211
20,Ender Inciarte,ATL,0.304,201,11,57,3.54,271,3,227
21,Ryan Zimmerman,WSH,0.303,159,36,108,3.86,300,1,156
22,Marwin Gonzalez,HOU,0.303,138,23,90,4.1,241,4,149
23,Anthony Rendon,WSH,0.301,153,25,100,4.37,271,6,171
24,Lorenzo Cain,KC,0.3,175,15,49,3.9,257,1,197
25,Jean Segura,SEA,0.3,157,11,45,3.86,224,3,180
26,Yuli Gurriel,HOU,0.299,158,18,75,3.43,257,1,185
27,Paul Goldschmidt,ARI,0.297,166,36,120,4.15,314,15,170
28,Elvis Andrus,TEX,0.297,191,20,88,3.7,303,0,223
29,Zack Cozart,CIN,0.297,130,24,63,4.19,240,0,144
30,Kris Bryant,CHC,0.295,162,29,73,3.99,295,5,179
31,Corey Seager,LAD,0.295,159,22,77,3.65,258,5,170
32,Cesar Hernandez,PHI,0.294,150,9,34,4.01,215,1,179
33,David Peralta,ARI,0.293,154,14,57,3.72,233,1,177
34,Trey Mancini,BAL,0.293,159,24,78,3.89,265,1,169
35,Jonathan Schoop,BAL,0.293,182,32,105,3.77,313,0,185
36,Eddie Rosario,MIN,0.29,157,27,78,3.66,275,1,167
37,Chris Taylor,LAD,0.288,148,21,72,3.99,255,0,171
38,Whit Merrifield,KC,0.288,169,19,78,3.76,270,0,194
39,Nelson Cruz,SEA,0.288,160,39,119,3.84,305,7,149
40,Joe Panik,SF,0.288,147,10,53,3.81,215,4,175
41,Didi Gregorius,NYY,0.287,153,25,87,3.63,255,1,155
42,Melky Cabrera,CHW/KC,0.285,177,17,85,3.64,262,1,194
43,Brandon Phillips,LAA/ATL,0.285,163,13,60,3.49,238,1,186
44,Adam Jones,BAL,0.285,170,26,73,3.6,278,1,174
45,Alex Bregman,HOU,0.284,158,19,71,3.68,264,2,188
46,Aaron Judge,NYY,0.284,154,52,114,4.41,340,11,132
47,George Springer,HOU,0.283,155,34,85,4.05,286,1,150
48,Christian Yelich,MIA,0.282,170,18,81,4.15,264,4,192
49,Corey Dickerson,TB,0.282,166,27,62,3.96,288,6,180
50,Giancarlo Stanton,MIA,0.281,168,59,132,3.95,377,13,141
51,Odubel Herrera,PHI,0.281,148,14,56,3.87,238,4,182
52,Robinson Cano,SEA,0.28,166,23,97,3.57,268,8,176
53,Asdrubal Cabrera,NYM,0.28,134,14,59,3.82,208,1,152
54,Andrew McCutchen,PIT,0.279,159,28,88,4.03,277,5,165
55,Andrelton Simmons,LAA,0.278,164,14,69,3.55,248,0,192
56,J.T. Realmuto,MIA,0.278,148,17,65,3.75,240,4,172
57,Gary Sanchez,NYY,0.278,131,33,90,3.86,250,1,118
58,Domingo Santana,MIL,0.278,146,30,85,4.1,265,2,145
59,Tim Beckham,BAL/TB,0.278,148,22,62,4.02,242,0,154
60,Jed Lowrie,OAK,0.277,157,14,69,4.01,254,2,198
61,Orlando Arcia,MIL,0.277,140,15,53,3.62,206,9,146
62,Ben Gamel,SEA,0.275,140,11,59,3.98,210,1,166
63,Nick Markakis,ATL,0.275,163,8,76,4.06,228,8,196
64,Yadier Molina,STL,0.273,137,18,82,3.68,220,4,148
65,Chase Headley,NYY,0.273,140,12,61,3.97,208,2,160
66,Francisco Lindor,CLE,0.273,178,33,89,3.77,329,6,197
67,Travis Shaw,MIL,0.273,147,31,101,3.95,276,6,152
68,Xander Bogaerts,BOS,0.273,156,10,62,4.01,230,6,190
69,Javier Baez,CHC,0.273,128,23,75,3.63,225,15,133
70,Justin Upton,LAA/DET,0.273,152,35,109,4.24,301,3,161
71,Anthony Rizzo,CHC,0.273,156,32,109,3.94,290,11,162
72,Mike Moustakas,KC,0.272,151,38,85,3.75,289,7,137
73,Nicholas Castellanos,DET,0.272,167,26,101,3.92,301,0,197
74,Denard Span,SF,0.272,135,12,43,3.75,212,0,164
75,Josh Harrison,PIT,0.272,132,16,47,3.74,210,2,146
76,Ryon Healy,OAK,0.271,156,25,78,3.77,260,0,160
77,Brian Dozier,MIN,0.271,167,34,93,4.01,307,6,171
78,Andrew Benintendi,BOS,0.271,155,20,90,3.85,243,7,163
79,Justin Smoak,TOR,0.27,151,38,90,4.07,296,3,144
80,Mark Reynolds,COL,0.267,139,30,97,4.17,253,0,133
81,Cody Bellinger,LAD,0.267,128,39,97,4.02,279,13,123
82,Yolmer Sanchez,CHW,0.267,129,12,59,3.75,200,2,152
83,Yonder Alonso,OAK/SEA,0.266,120,28,67,3.99,226,6,114
84,Mookie Betts,BOS,0.264,166,24,102,3.94,288,9,192
85,Brett Gardner,NYY,0.264,157,21,63,4.23,254,2,170
86,David Freese,PIT,0.263,112,10,52,4.13,158,5,118
87,Manuel Margot,SD,0.263,128,13,39,3.83,199,0,147
88,Yasiel Puig,LAD,0.263,131,28,74,3.72,243,8,131
89,Carlos Gonzalez,COL,0.262,123,14,57,3.63,199,3,143
90,Shin-Soo Choo,TEX,0.261,142,22,78,4,230,1,142
91,Evan Longoria,TB,0.261,160,20,86,3.68,260,3,180
92,Eugenio Suarez,CIN,0.26,139,26,82,4.25,246,1,142
93,Hunter Pence,SF,0.26,128,13,67,3.96,190,1,138
94,Carlos Santana,CLE,0.259,148,23,79,3.97,260,6,168
95,Manny Machado,BAL,0.259,163,33,95,3.69,297,3,165
96,Jose Peraza,CIN,0.259,126,5,37,3.58,158,1,138
97,Edwin Encarnacion,CLE,0.258,143,38,107,4.29,279,5,127
98,Tim Anderson,CHW,0.257,151,17,56,3.49,236,0,168
99,Jorge Polanco,MIN,0.256,125,13,74,3.8,200,1,148
100,Kevin Pillar,TOR,0.256,150,16,42,3.51,237,0,173
101,Yangervis Solarte,SD,0.255,119,18,64,3.46,194,4,122
102,Josh Bell,PIT,0.255,140,26,90,4.11,256,4,152
103,Jordy Mercer,PIT,0.255,128,14,58,3.92,204,13,148
104,Freddy Galvis,PHI,0.255,155,12,61,3.98,232,2,184
105,Jay Bruce,CLE/NYM,0.254,141,36,101,3.94,282,0,138
106,Byron Buxton,MIN,0.253,117,16,51,3.9,191,2,127
107,Brandon Crawford,SF,0.253,131,14,77,3.81,209,3,153
108,Nomar Mazara,TEX,0.253,140,20,101,3.97,234,6,154
109,Alcides Escobar,KC,0.25,150,6,54,3.55,214,1,190
110,Kendrys Morales,TOR,0.25,139,28,85,3.84,248,2,136
111,Miguel Cabrera,DET,0.249,117,16,60,3.86,187,6,123
112,Kyle Seager,SEA,0.249,144,27,88,3.95,260,6,152
113,Adam Duvall,CIN,0.249,146,31,99,3.84,282,1,158
114,Jake Lamb,ARI,0.248,133,30,105,4.03,261,13,141
115,Billy Hamilton,CIN,0.247,144,4,38,3.98,195,0,179
116,Khris Davis,OAK,0.247,140,43,110,3.97,299,1,127
117,Eric Thames,MIL,0.247,116,31,63,4.25,243,5,119
118,Logan Morrison,TB,0.246,126,38,85,3.92,264,8,112
119,Mitch Moreland,BOS,0.246,125,22,79,3.93,225,6,137
120,Jose Reyes,NYM,0.246,123,15,58,3.7,207,1,147
121,Jackie Bradley Jr.,BOS,0.245,118,17,63,3.76,194,4,126
122,Kole Calhoun,LAA,0.244,139,19,71,3.85,223,4,147
123,Wil Myers,SD,0.243,138,30,74,4.11,263,3,143
124,Matt Joyce,OAK,0.243,114,25,68,4.16,222,0,122
125,Max Kepler,MIN,0.243,124,19,69,3.75,217,2,141
126,Hanley Ramirez,BOS,0.242,120,23,62,3.77,213,8,121
127,Matt Carpenter,STL,0.241,120,23,69,4.44,224,4,132
128,Albert Pujols,LAA,0.241,143,23,101,3.91,229,5,137
129,Tommy Joseph,PHI,0.24,119,22,69,3.8,214,1,126
130,Steven Souza Jr.,TB,0.239,125,30,78,4.04,240,2,120
131,Trevor Story,COL,0.239,120,24,82,4.12,230,4,134
132,Ian Kinsler,DET,0.236,130,22,52,3.94,227,2,139
133,Mark Trumbo,BAL,0.234,131,23,65,3.83,222,0,130
134,Scott Schebler,CIN,0.233,110,30,67,3.55,229,5,109
135,Dansby Swanson,ATL,0.232,113,6,51,3.97,158,10,134
136,Carlos Beltran,HOU,0.231,108,14,51,3.79,179,3,123
137,Maikel Franco,PHI,0.23,132,24,76,3.75,235,3,139
138,Chris Davis,BAL,0.215,98,26,61,4.04,193,4,89
139,Todd Frazier,CHW/NYY,0.213,101,27,76,4.33,203,2,95
140,Curtis Granderson,LAD/NYM,0.212,95,26,64,4.52,203,2,99
141,Joey Gallo,TEX,0.209,94,41,80,4.21,241,1,77
142,Alex Gordon,KC,0.208,99,9,45,4.07,150,3,114
143,Rougned Odor,TEX,0.204,124,30,75,3.69,241,5,121
144,Jose Bautista,TOR,0.203,119,23,65,4.34,215,3,123
